rank,name,team,position,bye,adp,hasMarketAdp,fairRank,marketDelta,marketLabel,lateRoundLabel,week1Projection,seasonProjection,projectedGames,riskScore,riskTags,joannaNote,jeffNote
279,George Holani,SEA,RB,11,209,false,279,-70,Late Only,Bench clog risk,2.43,35.93,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 279, no ADP; Yahoo rank 209, delta -70. Season 2.1 ppg, Week 1 2.4, risk 0.9 (12 projected games)."
280,Greg Dortch,DET,WR,6,500,false,280,220,Late Only,Bench clog risk,2.33,35.8,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 280, no ADP; Yahoo rank 2061, delta +220. Season 2.1 ppg, Week 1 2.3, risk 0.9 (12 projected games)."
281,Chris Brooks,GB,RB,11,295,false,281,14,Late Only,Bench clog risk,1.82,38.97,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 281, no ADP; Yahoo rank 295, delta +14. Season 2.3 ppg, Week 1 1.8, risk 0.9 (14 projected games)."
282,Keon Coleman,BUF,WR,7,268,false,282,-14,Late Only,Bench clog risk,3.25,60.08,12,2.2,Q; Foot; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 282, no ADP; Yahoo rank 268, delta -14. Season 3.5 ppg, Week 1 3.3, risk 2.2 (Q; Foot; 12 projected games)."
283,Treylon Burks,WAS,WR,7,291,false,283,8,Late Only,Bench clog risk,1.98,37.54,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 283, no ADP; Yahoo rank 291, delta +8. Season 2.2 ppg, Week 1 2.0, risk 0.9 (14 projected games)."
284,Erick All Jr.,CIN,TE,6,318,false,284,34,Late Only,Bench clog risk,2.9,52.43,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 284, no ADP; Yahoo rank 318, delta +34. Season 3.1 ppg, Week 1 2.9, risk 1.8."
285,Jordyn Tyson,NO,WR,8,94,true,285,-191,Trap,Bench clog risk,4.07,102.1,11,5,D; Hamstring; expected to miss about two months; 11 projected games,"Do not draft for Week 1 survival. This is a stash profile, not a starter.",NFL.com reported an approximately two-month absence; ADP has to crater before he becomes rational.
286,Oscar Delp,NO,TE,8,327,false,286,41,Late Only,Bench clog risk,2.05,35.38,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 286, no ADP; Yahoo rank 327, delta +41. Season 2.1 ppg, Week 1 2.0, risk 0.9 (12 projected games)."
287,Nate Boerkircher,JAX,TE,7,500,false,287,213,Late Only,Bench clog risk,1.09,20.2,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 287, no ADP; Yahoo rank 2164, delta +213. Season 1.2 ppg, Week 1 1.1, risk 0.0."
288,Sam Roush,CHI,TE,10,500,false,288,212,Late Only,Bench clog risk,1.13,19.13,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 288, no ADP; Yahoo rank 2153, delta +212. Season 1.1 ppg, Week 1 1.1, risk 0.0."
289,Joshua Palmer,BUF,WR,7,307,false,289,18,Late Only,Bench clog risk,1.97,34.29,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 289, no ADP; Yahoo rank 307, delta +18. Season 2.0 ppg, Week 1 2.0, risk 0.9 (12 projected games)."
290,Najee Harris,NYG,RB,8,210,false,290,-80,Late Only,Bench clog risk,2.11,32.94,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 290, no ADP; Yahoo rank 210, delta -80. Season 1.9 ppg, Week 1 2.1, risk 0.9 (14 projected games)."
291,Emanuel Wilson,SEA,RB,11,281,false,291,-10,Late Only,Bench clog risk,2.11,40.96,16,1.3,Q; Hamstring,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 291, no ADP; Yahoo rank 281, delta -10. Season 2.4 ppg, Week 1 2.1, risk 1.3 (Q; Hamstring)."
292,Bryce Lance,NO,WR,8,278,false,292,-14,Late Only,Bench clog risk,1.82,32.9,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 292, no ADP; Yahoo rank 278, delta -14. Season 1.9 ppg, Week 1 1.8, risk 0.9 (14 projected games)."
293,Elijah Higgins,ARI,TE,14,500,false,293,207,Late Only,Bench clog risk,2.29,38.69,16,1.3,Q; Concussion,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 293, no ADP; Yahoo rank 2103, delta +207. Season 2.3 ppg, Week 1 2.3, risk 1.3 (Q; Concussion)."
294,Jacoby Brissett,ARI,QB,14,216,false,294,-78,Late Only,Stash only,13.35,194.81,11,1.2,11 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 294, no ADP; Yahoo rank 216, delta -78. Season 11.5 ppg, Week 1 13.3, risk 1.2 (11 projected games)."
295,Seth McGowan,IND,RB,13,258,false,295,-37,Late Only,Bench clog risk,1.78,32.42,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 295, no ADP; Yahoo rank 258, delta -37. Season 1.9 ppg, Week 1 1.8, risk 0.9 (12 projected games)."
296,LeQuint Allen Jr.,JAX,RB,7,334,false,296,38,Late Only,Bench clog risk,2.05,39.8,16,1.3,Q; Undisclosed,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 296, no ADP; Yahoo rank 334, delta +38. Season 2.3 ppg, Week 1 2.0, risk 1.3 (Q; Undisclosed)."
297,Kyle Williams,NE,WR,11,348,false,297,51,Late Only,Bench clog risk,1.1,28.36,16,0.6,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 297, no ADP; Yahoo rank 348, delta +51. Season 1.7 ppg, Week 1 1.1, risk 0.6."
298,Zavion Thomas,CHI,WR,10,345,false,298,47,Late Only,Bench clog risk,2.1,35.27,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 298, no ADP; Yahoo rank 345, delta +47. Season 2.1 ppg, Week 1 2.1, risk 1.2 (8 projected games)."
299,Emari Demercado,KC,RB,5,328,false,299,29,Late Only,Bench clog risk,1.76,30.09,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 299, no ADP; Yahoo rank 328, delta +29. Season 1.8 ppg, Week 1 1.8, risk 0.9 (12 projected games)."
300,Brashard Smith,KC,RB,5,354,false,300,54,Late Only,Bench clog risk,1.55,31.02,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 300, no ADP; Yahoo rank 354, delta +54. Season 1.8 ppg, Week 1 1.6, risk 0.9 (12 projected games)."
301,Zach Charbonnet,SEA,RB,11,129.4,true,301,-171.6,Trap,Bench clog risk,5.19,95.36,10,4.7,PUP; Knee - ACL; 10 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 301, ADP 129, delta -172. Season 5.6 ppg, Week 1 5.2, risk 4.7 (PUP; Knee - ACL; 10 projected games)."
302,Ben Sinnott,WAS,TE,7,500,false,302,198,Late Only,Bench clog risk,1.48,29.69,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 302, no ADP; Yahoo rank 2099, delta +198. Season 1.7 ppg, Week 1 1.5, risk 0.9 (14 projected games)."
303,Tutu Atwell,MIA,WR,6,500,false,303,197,Late Only,Bench clog risk,2.14,32.47,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 303, no ADP; Yahoo rank 2111, delta +197. Season 1.9 ppg, Week 1 2.1, risk 1.2 (8 projected games)."
304,Jahdae Walker,CHI,WR,10,500,false,304,196,Late Only,Bench clog risk,1.78,27.13,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 304, no ADP; Yahoo rank 2097, delta +196. Season 1.6 ppg, Week 1 1.8, risk 0.9 (12 projected games)."
305,Jeremy Ruckert,NYJ,TE,13,500,false,305,195,Late Only,Bench clog risk,0.77,10.77,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 305, no ADP; Yahoo rank 2248, delta +195. Season 0.6 ppg, Week 1 0.8, risk 0.0."
306,Demarcus Robinson,SF,WR,8,500,false,306,194,Late Only,Bench clog risk,1.78,25.09,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 306, no ADP; Yahoo rank 2091, delta +194. Season 1.5 ppg, Week 1 1.8, risk 0.9 (12 projected games)."
307,Jordan James,SF,RB,8,294,false,307,-13,Late Only,Bench clog risk,2.38,51.37,12,2.2,Q; Ribs; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 307, no ADP; Yahoo rank 294, delta -13. Season 3.0 ppg, Week 1 2.4, risk 2.2 (Q; Ribs; 12 projected games)."
308,Trevor Etienne,CAR,RB,5,336,false,308,28,Late Only,Bench clog risk,1.4,26.55,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 308, no ADP; Yahoo rank 336, delta +28. Season 1.6 ppg, Week 1 1.4, risk 0.9 (12 projected games)."
309,Tahj Brooks,CIN,RB,6,261,false,309,-48,Late Only,Bench clog risk,1.67,23.24,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 309, no ADP; Yahoo rank 261, delta -48. Season 1.4 ppg, Week 1 1.7, risk 0.9 (12 projected games)."
310,Malik Davis,DAL,RB,14,311,false,310,1,Late Only,Bench clog risk,1.51,23.92,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 310, no ADP; Yahoo rank 311, delta +1. Season 1.4 ppg, Week 1 1.5, risk 0.9 (12 projected games)."
311,Jordan Whittington,LAR,WR,11,355,false,311,44,Late Only,Bench clog risk,1.28,24.77,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 311, no ADP; Yahoo rank 355, delta +44. Season 1.5 ppg, Week 1 1.3, risk 0.9 (12 projected games)."
312,David Sills V,TB,WR,10,500,false,312,188,Late Only,Bench clog risk,0.38,22.4,16,0.6,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 312, no ADP; Yahoo rank 2246, delta +188. Season 1.3 ppg, Week 1 0.4, risk 0.6."
313,Seydou Traore,MIA,TE,6,500,false,313,187,Late Only,Bench clog risk,0.54,6.27,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 313, no ADP; Yahoo rank 2237, delta +187. Season 0.4 ppg, Week 1 0.5, risk 0.0."
314,Tez Johnson,TB,WR,10,500,false,314,186,Late Only,Bench clog risk,2.17,34.23,15,1.65,Q; Groin; 15 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 314, no ADP; Yahoo rank 2077, delta +186. Season 2.0 ppg, Week 1 2.2, risk 1.6 (Q; Groin; 15 projected games)."
315,Mo Alie-Cox,IND,TE,13,500,false,315,185,Late Only,Bench clog risk,1.44,21.09,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 315, no ADP; Yahoo rank 2256, delta +185. Season 1.2 ppg, Week 1 1.4, risk 0.9 (12 projected games)."
316,Matt Hibner,BAL,TE,13,500,false,316,184,Late Only,Bench clog risk,1.25,20.62,14,0.9,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 316, no ADP; Yahoo rank 2157, delta +184. Season 1.2 ppg, Week 1 1.3, risk 0.9 (14 projected games)."
317,Skyler Bell,BUF,WR,7,310,false,317,-7,Late Only,Bench clog risk,1.54,40.95,16,1.9,Q; Lower Body,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 317, no ADP; Yahoo rank 310, delta -7. Season 2.4 ppg, Week 1 1.5, risk 1.9 (Q; Lower Body)."
318,Tanner Koziol,JAX,TE,7,500,false,318,182,Late Only,Bench clog risk,0.97,20.63,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 318, no ADP; Yahoo rank 2159, delta +182. Season 1.2 ppg, Week 1 1.0, risk 0.9 (12 projected games)."
319,Luke McCaffrey,WAS,WR,7,324,false,319,5,Late Only,Bench clog risk,1.21,25.77,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 319, no ADP; Yahoo rank 324, delta +5. Season 1.5 ppg, Week 1 1.2, risk 1.2 (8 projected games)."
320,Tanner Hudson,CIN,TE,6,500,false,320,180,Late Only,Bench clog risk,1.23,18.43,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 320, no ADP; Yahoo rank 2073, delta +180. Season 1.1 ppg, Week 1 1.2, risk 0.9 (12 projected games)."
321,Joe Royer,CLE,TE,11,500,false,321,179,Late Only,Bench clog risk,1.27,27.36,16,1.3,Q; Personal,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 321, no ADP; Yahoo rank 2234, delta +179. Season 1.6 ppg, Week 1 1.3, risk 1.3 (Q; Personal)."
322,Chris Manhertz,NYG,TE,8,500,false,322,178,Late Only,Bench clog risk,0.27,3.05,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 322, no ADP; Yahoo rank 2254, delta +178. Season 0.2 ppg, Week 1 0.3, risk 0.0."
323,Tyler Conklin,DET,TE,6,500,false,323,177,Late Only,Bench clog risk,0.26,3.11,16,0,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 323, no ADP; Yahoo rank 2090, delta +177. Season 0.2 ppg, Week 1 0.3, risk 0.0."
324,James Conner,ARI,RB,14,125.9,true,324,-198.1,Trap,Bench clog risk,2.26,41.1,14,2.2,Q; Foot; 14 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 324, ADP 126, delta -198. Season 2.4 ppg, Week 1 2.3, risk 2.2 (Q; Foot; 14 projected games)."
325,Ashton Dulin,IND,WR,13,309,false,325,-16,Late Only,Bench clog risk,1.72,21.06,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 325, no ADP; Yahoo rank 309, delta -16. Season 1.2 ppg, Week 1 1.7, risk 1.2 (8 projected games)."
326,Foster Moreau,HOU,TE,8,500,false,326,174,Late Only,Bench clog risk,1.03,16.96,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 326, no ADP; Yahoo rank 2259, delta +174. Season 1.0 ppg, Week 1 1.0, risk 0.9 (12 projected games)."
327,Colbie Young,CIN,WR,6,341,false,327,14,Late Only,Bench clog risk,2.09,31.2,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 327, no ADP; Yahoo rank 341, delta +14. Season 1.8 ppg, Week 1 2.1, risk 1.8."
328,Devin Singletary,NYG,RB,8,339,false,328,11,Late Only,Bench clog risk,1.04,15.18,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 328, no ADP; Yahoo rank 339, delta +11. Season 0.9 ppg, Week 1 1.0, risk 0.9 (12 projected games)."
329,Ollie Gordon II,MIA,RB,6,225,false,329,-104,Late Only,Bench clog risk,2.43,35.68,12,2.2,Q; Ribs; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 329, no ADP; Yahoo rank 225, delta -104. Season 2.1 ppg, Week 1 2.4, risk 2.2 (Q; Ribs; 12 projected games)."
330,Brenen Thompson,LAC,WR,7,314,false,330,-16,Late Only,Bench clog risk,2.08,36.85,12,2.2,Q; Undisclosed; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 330, no ADP; Yahoo rank 314, delta -16. Season 2.2 ppg, Week 1 2.1, risk 2.2 (Q; Undisclosed; 12 projected games)."
331,DJ Giddens,IND,RB,13,262,false,331,-69,Late Only,Bench clog risk,2.05,36.89,12,2.2,Q; Hamstring; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 331, no ADP; Yahoo rank 262, delta -69. Season 2.2 ppg, Week 1 2.0, risk 2.2 (Q; Hamstring; 12 projected games)."
332,Grant Calcaterra,PHI,TE,10,500,false,332,168,Late Only,Bench clog risk,1.31,19.84,16,1.3,Q; Back,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 332, no ADP; Yahoo rank 2249, delta +168. Season 1.2 ppg, Week 1 1.3, risk 1.3 (Q; Back)."
333,Michael Trigg,DAL,TE,14,500,false,333,167,Late Only,Bench clog risk,1.03,20.02,16,1.3,Q; Toe,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 333, no ADP; Yahoo rank 2167, delta +167. Season 1.2 ppg, Week 1 1.0, risk 1.3 (Q; Toe)."
334,M. Valdes-Scantling,DAL,WR,14,500,false,334,166,Late Only,Bench clog risk,0.55,12.78,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 334, no ADP; Yahoo rank 2122, delta +166. Season 0.8 ppg, Week 1 0.6, risk 0.9 (12 projected games)."
335,Dyami Brown,WAS,WR,7,500,false,335,165,Late Only,Bench clog risk,0.84,17.31,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 335, no ADP; Yahoo rank 2124, delta +165. Season 1.0 ppg, Week 1 0.8, risk 1.2 (8 projected games)."
336,Lil'Jordan Humphrey,DEN,WR,10,500,false,336,164,Late Only,Bench clog risk,1.15,14.97,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 336, no ADP; Yahoo rank 2093, delta +164. Season 0.9 ppg, Week 1 1.1, risk 1.2 (8 projected games)."
337,Adam Randall,BAL,RB,13,230,false,337,-107,Late Only,Bench clog risk,1.55,33.95,12,2.2,Q; Undisclosed; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 337, no ADP; Yahoo rank 230, delta -107. Season 2.0 ppg, Week 1 1.6, risk 2.2 (Q; Undisclosed; 12 projected games)."
338,Josh Whyle,GB,TE,11,500,false,338,162,Late Only,Bench clog risk,0.87,14.08,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 338, no ADP; Yahoo rank 2253, delta +162. Season 0.8 ppg, Week 1 0.9, risk 1.2 (8 projected games)."
339,Malik Benson,LV,WR,13,306,false,339,-33,Late Only,Bench clog risk,1.43,37.9,0,2.4,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 339, no ADP; Yahoo rank 306, delta -33. Season 2.2 ppg, Week 1 1.4, risk 2.4."
340,Tim Patrick,NYJ,WR,13,500,false,340,160,Late Only,Bench clog risk,0.8,13.9,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 340, no ADP; Yahoo rank 2102, delta +160. Season 0.8 ppg, Week 1 0.8, risk 1.2 (8 projected games)."
341,Ian Thomas,LV,TE,13,500,false,341,159,Late Only,Bench clog risk,0.53,8.34,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 341, no ADP; Yahoo rank 2251, delta +159. Season 0.5 ppg, Week 1 0.5, risk 0.9 (12 projected games)."
342,Nate Adkins,DEN,TE,10,500,false,342,158,Late Only,Bench clog risk,0.78,13.34,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 342, no ADP; Yahoo rank 2266, delta +158. Season 0.8 ppg, Week 1 0.8, risk 1.2 (8 projected games)."
343,Lance Mason,PIT,TE,9,500,false,343,157,Late Only,Bench clog risk,0,25.1,12,1.5,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 343, no ADP; Yahoo rank 2134, delta +157. Season 1.5 ppg, Week 1 0.0, risk 1.5 (12 projected games)."
344,Van Jefferson,WAS,WR,7,500,false,344,156,Late Only,Bench clog risk,0.08,3.42,16,0.6,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 344, no ADP; Yahoo rank 2095, delta +156. Season 0.2 ppg, Week 1 0.1, risk 0.6."
345,Kaleb Johnson,PIT,RB,9,337,false,345,-8,Late Only,Bench clog risk,0.64,18.25,14,1.5,14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 345, no ADP; Yahoo rank 337, delta -8. Season 1.1 ppg, Week 1 0.6, risk 1.5 (14 projected games)."
346,Fernando Mendoza,LV,QB,13,120,true,346,-226,Trap,Bench clog risk,8.34,182.88,14,0.9,14 projected games,Do not chase the name or story here; price is ahead of our fair value and the risk/role picture is not clean enough.,"Fair 346, ADP 120, delta -226. Season 10.8 ppg, Week 1 8.3, risk 0.9 (14 projected games)."
347,Isaiah Hodgins,NYG,WR,8,500,false,347,153,Late Only,Bench clog risk,0.31,5.48,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 347, no ADP; Yahoo rank 2252, delta +153. Season 0.3 ppg, Week 1 0.3, risk 0.9 (12 projected games)."
348,Kevin Austin Jr.,NO,WR,8,500,false,348,152,Late Only,Bench clog risk,0.6,3.59,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 348, no ADP; Yahoo rank 2070, delta +152. Season 0.2 ppg, Week 1 0.6, risk 0.9 (12 projected games)."
349,Mitch Tinsley,CIN,WR,6,500,false,349,151,Late Only,Bench clog risk,1.12,21.11,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 349, no ADP; Yahoo rank 2120, delta +151. Season 1.2 ppg, Week 1 1.1, risk 1.8."
350,Devin Culp,TB,TE,10,500,false,350,150,Late Only,Bench clog risk,0.35,4.97,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 350, no ADP; Yahoo rank 2143, delta +150. Season 0.3 ppg, Week 1 0.3, risk 0.9 (12 projected games)."
351,Kendre Miller,NO,RB,8,292,false,351,-59,Late Only,Bench clog risk,1.42,18.59,4,1.8,4 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 351, no ADP; Yahoo rank 292, delta -59. Season 1.1 ppg, Week 1 1.4, risk 1.8 (4 projected games)."
352,Christian Kirk,SF,WR,8,330,false,352,-22,Late Only,Bench clog risk,1.63,40.48,14,2.8,Q; Calf; 14 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 352, no ADP; Yahoo rank 330, delta -22. Season 2.4 ppg, Week 1 1.6, risk 2.8 (Q; Calf; 14 projected games)."
353,Thomas Fidone II,NYG,TE,8,500,false,353,147,Late Only,Bench clog risk,1.27,18.51,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 353, no ADP; Yahoo rank 2130, delta +147. Season 1.1 ppg, Week 1 1.3, risk 1.8."
354,Michael Carter,TEN,RB,9,373,false,354,19,Late Only,Bench clog risk,0.41,7.6,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 354, no ADP; Yahoo rank 373, delta +19. Season 0.4 ppg, Week 1 0.4, risk 1.2 (8 projected games)."
355,Shane Zylstra,BUF,TE,7,500,false,355,145,Late Only,Bench clog risk,0.16,1.8,12,0.9,12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 355, no ADP; Yahoo rank 2244, delta +145. Season 0.1 ppg, Week 1 0.2, risk 0.9 (12 projected games)."
356,Raheim Sanders,CLE,RB,11,338,false,356,-18,Late Only,Bench clog risk,0.85,15.61,4,1.8,4 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 356, no ADP; Yahoo rank 338, delta -18. Season 0.9 ppg, Week 1 0.8, risk 1.8 (4 projected games)."
357,Jawhar Jordan,HOU,RB,8,340,false,357,-17,Late Only,Bench clog risk,1.04,23.14,12,2.2,Q; Hip; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 357, no ADP; Yahoo rank 340, delta -17. Season 1.4 ppg, Week 1 1.0, risk 2.2 (Q; Hip; 12 projected games)."
358,Josh Cuevas,BAL,TE,13,500,false,358,142,Late Only,Bench clog risk,0.59,14.7,8,1.8,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 358, no ADP; Yahoo rank 2137, delta +142. Season 0.9 ppg, Week 1 0.6, risk 1.8 (8 projected games)."
359,Devin Neal,NO,RB,8,326,false,359,-33,Late Only,Bench clog risk,0.48,17.65,16,1.9,Q; Hamstring,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 359, no ADP; Yahoo rank 326, delta -33. Season 1.0 ppg, Week 1 0.5, risk 1.9 (Q; Hamstring)."
360,Chris Moore,BAL,WR,13,500,false,360,140,Late Only,Bench clog risk,0.18,2.67,8,1.2,8 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 360, no ADP; Yahoo rank 2265, delta +140. Season 0.2 ppg, Week 1 0.2, risk 1.2 (8 projected games)."
361,Roschon Johnson,CHI,RB,10,332,false,361,-29,Late Only,Bench clog risk,0.57,10.6,0,1.8,,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 361, no ADP; Yahoo rank 332, delta -29. Season 0.6 ppg, Week 1 0.6, risk 1.8."
362,Cedric Tillman,CLE,WR,11,500,false,362,138,Late Only,Bench clog risk,0.99,15.61,12,2.2,Q; Undisclosed; 12 projected games,"No reliable Yahoo ADP signal. Treat as a late-round review name, not someone to chase before the board says you need him.","Fair 362, no ADP; Yahoo rank 2071, delta +138. Season 0.9 ppg, Week 1 1.0, risk 2.2 (Q; Undisclosed; 12 projected games)."
